DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, comb, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.653526*((1.+(0.220245*x))/(1.+(0.14383*x)))" 
1, comb, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.13138505816459656" 
1, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.047536440193653107" 
1, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.042522255331277847" 
1, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.039602756500244141" 
1, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.038736090064048767" 
1, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.058426573872566223" 
1, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.048853777348995209" 
1, comb, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.10452167689800262" 
1, comb, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.14962516725063324" 
1, comb, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.13138505816459656" 
1, comb, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.047536440193653107" 
1, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.042522255331277847" 
1, comb, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.039602756500244141" 
1, comb, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.038736090064048767" 
1, comb, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.058426573872566223" 
1, comb, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.048853777348995209" 
1, comb, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.10452167689800262" 
1, comb, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.14962516725063324" 
