DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "2.22144*((1.+(0.540134*x))/(1.+(1.30246*x)))" 
1, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.038731977343559265" 
1, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.015137125737965107" 
1, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.013977443799376488" 
1, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.012607076205313206" 
1, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.013979751616716385" 
1, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.015011214651167393" 
1, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.034551065415143967" 
1, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.040168888866901398" 
1, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.054684814065694809" 
1, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.038731977343559265" 
1, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.015137125737965107" 
1, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.013977443799376488" 
1, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.012607076205313206" 
1, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.013979751616716385" 
1, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.015011214651167393" 
1, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.034551065415143967" 
1, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.040168888866901398" 
1, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.054684814065694809" 
