DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "2.22144*((1.+(0.540134*x))/(1.+(1.30246*x)))" 
1, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.1161959320306778" 
1, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.045411378145217896" 
1, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.041932329535484314" 
1, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.037821229547262192" 
1, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.041939254850149155" 
1, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.045033644884824753" 
1, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.1036531925201416" 
1, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.12050666660070419" 
1, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))-0.16405443847179413" 
1, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.1161959320306778" 
1, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.045411378145217896" 
1, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.041932329535484314" 
1, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.037821229547262192" 
1, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.041939254850149155" 
1, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.045033644884824753" 
1, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.1036531925201416" 
1, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.12050666660070419" 
1, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(2.22144*((1.+(0.540134*x))/(1.+(1.30246*x))))+0.16405443847179413" 
