DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))" 
1, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.065904870629310608)" 
1, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.015055687166750431)" 
1, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.013506759889423847)" 
1, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.015106724575161934)" 
1, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.014620178379118443)" 
1, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.012161554768681526)" 
1, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.016239689663052559)" 
1, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.039990410208702087)" 
1, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.068454340100288391)" 
1, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.065904870629310608" 
1, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.015055687166750431" 
1, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.013506759889423847" 
1, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.015106724575161934" 
1, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.014620178379118443" 
1, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.012161554768681526" 
1, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.016239689663052559" 
1, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.039990410208702087" 
1, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.068454340100288391" 
