DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))" 
1, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.19771461188793182)" 
1, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.045167062431573868)" 
1, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.040520280599594116)" 
1, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.045320175588130951)" 
1, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.043860536068677902)" 
1, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.036484666168689728)" 
1, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.048719070851802826)" 
1, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.11997123062610626)" 
1, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.909339+((0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18))))))-0.20536302030086517)" 
1, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.19771461188793182" 
1, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.045167062431573868" 
1, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.040520280599594116" 
1, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.045320175588130951" 
1, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.043860536068677902" 
1, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.036484666168689728" 
1, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.048719070851802826" 
1, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.11997123062610626" 
1, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.909339+(0.00354*(log(x+19)*(log(x+18)*(3-(0.471623*log(x+18)))))))+0.20536302030086517" 
